Ticker,Date_Split,p,d,q,P,D,Q,m,mape,Last_Day_True_Price,T_D1,T_D2,T_D3,T_D4,T_D5,T_D6,T_D7,T_D8,T_D9,T_D10,T_D11,T_D12,T_D13,T_D14,T_D15,P_D1,P_D2,P_D3,P_D4,P_D5,P_D6,P_D7,P_D8,P_D9,P_D10,P_D11,P_D12,P_D13,P_D14,P_D15
M&M.NS,2024-10-01,0,1,0,5,1,0,5,6.893682809423868,2793.5,1.1759476519151602,-2.6006766545104707,-0.4474673348845534,-1.668161720288169,-3.071417534566852,-2.325038524140863,0.8645033951584034,3.237871887305352,3.7927313825621978,5.049223154756578,3.5027777933148383,6.493642468006086,4.907825224852336,3.7605172302890644,0.1950940100903884,13.00496075125739,12.814967296877352,14.073020181700546,14.856211069756306,15.063709237940493,14.801419929710512,15.563853075567277,16.755434729691547,17.074217524721362,17.820574942177377,17.57938979517656,18.76742550174705,20.146374059456605,20.64821974314768,21.596577577490674
HDFCBANK.NS,2024-10-01,0,1,0,5,1,0,5,4.95984287832093,1735.800048828125,0.7979015552677228,0.43783704183372985,-0.0921821414471246,0.9246414509924771,-0.06913660608534344,-0.005766658222966293,0.0864154832241583,-1.2501482101488401,1.2703033838891102,1.1205179528025748,0.6193109631064678,1.0744268820790124,1.7571148255578855,-1.0139472958381464,-3.1368862605429633,-0.23683792800047537,0.2819433699035542,0.2165664880595877,0.3507739986897193,0.5079053502905021,0.9382949080099221,1.505141359691585,1.3844636484488426,1.4770036145281706,1.5921588169016527,2.0702071095059322,2.7184355629910293,2.65702255864764,2.776339020789876,2.8470123810295305
BAJAJ-AUTO.NS,2024-10-01,1,1,1,5,1,0,5,14.659808279624498,10586.75,-2.6849599735518455,-3.5955358407915554,-5.436040333435662,-6.951145447139112,-6.102907968687274,-7.088579548138002,-6.714051098661063,-10.023852412803741,-6.72444697971521,-5.3486669657827,-6.896352604670933,-6.388642495336152,-6.304110238033391,-8.577229127801262,-10.71716635771129,15.810548923260548,16.90394936630072,18.174790362810423,19.17483520147928,20.237177527267473,20.349481905489718,21.699436206773232,22.061010414413786,22.75650134106583,22.95939286865811,23.427430312570888,24.606151497953395,25.14806216757191,25.072502480926445,25.71343521610944
JSWSTEEL.NS,2024-10-01,0,1,1,5,1,0,5,5.779043838080703,954.4500122070312,0.3824153525302204,-1.1105910718763217,1.3410851934896602,0.45575729795202097,0.2985987269618587,0.9639071810327203,1.451094914223049,0.047148850256773546,4.71999446977815,5.67866431073759,3.7037010984153755,4.395202647651264,2.5721606662459315,0.29336138688857816,-1.938289042212002,7.388174251317037,7.72278589607438,8.722019569496723,9.61468974043495,9.185069584280889,8.784207786128738,9.259498373345327,10.164486994519654,11.162805690769598,11.099588014091966,10.529031427172866,11.502664482002789,12.31906390657571,13.617267951165987,13.499729155891202
ICICIBANK.NS,2024-10-01,0,1,0,5,1,0,5,3.880490354774598,1251.5999755859375,0.09188434296062647,0.3076043193541236,3.295781464096688,6.411793030151738,4.837811601888091,3.2478447752471515,3.211894696895292,2.045380000423286,3.6033857834508116,4.054809922494713,2.165226599117711,0.5792585603563877,1.414195716478917,1.5180569167960503,0.16778328754396105,1.9973117529463895,2.476071578373148,2.8983489682546644,2.6043292811782637,3.1782220388066587,3.259796608988542,3.5303648320392274,3.3665224591283764,3.2719150042429708,3.6603262568012496,3.7312671502805825,4.266318617738955,3.9397753672667015,3.9565774349456815,4.262934973734678
BHARTIARTL.NS,2024-10-01,1,1,1,5,1,0,5,3.7296081931697302,1685.800048828125,-0.4360005601707855,-1.1745194124231342,-1.3317162529324607,-2.8888404218543653,-3.1112867317003516,-4.342156312848142,-4.113779549624427,-5.608615855353129,-6.370863762207211,-5.160754388426883,-6.525091755482267,-6.875075397858114,-7.429706748855944,-7.720371375272863,-8.028834602913786,0.8111618485010802,1.801151162333693,2.087159559706987,2.3322282289702256,2.9875917766569735,3.1731132696314988,4.282867147827592,4.348252437405196,4.281016041922106,4.571211077154695,4.509614206035688,5.228928601800129,5.2001944686019534,5.371704970863098,5.911636767007232
HINDALCO.NS,2024-10-01,1,1,1,5,1,0,5,5.918814957955908,717.0999755859375,-3.681489928560522,-5.34792593663136,-3.3746969733336534,-3.2770883837777722,-4.002224536184716,-4.329938481394873,-3.65359811237857,-5.96848267328376,-2.726256931886602,-1.2411049619174999,-9.62208929704963,-9.294375351839472,-8.611072668011806,-9.127032966135062,-12.620276541782486,5.920166046694096,6.829484462238054,7.155878260904104,7.249012725509374,7.530564670223115,6.835051307845672,8.183413808042058,8.50382781279341,8.434456484422174,9.063433799349577,8.482345411979471,9.964234078069495,10.557388448107,10.808598602992307,11.934132776717252
ADANIENT.NS,2024-10-01,3,1,0,5,1,0,5,5.463440367237215,2835.550048828125,-0.1886793589998909,-5.011376812586224,-1.3013399816245557,0.460229888501468,4.7168978750798685,3.9392692510590077,4.018618934938855,2.1812294775465624,2.821322093505716,7.430655341772331,4.745112818013274,3.2991852450915946,2.4016452661016965,1.2149301045175507,-0.6647774622789805,11.976378453620635,12.17241081775348,12.15890065830225,12.587642229009944,13.119941105328149,12.388268695324365,12.647394827213171,12.895650872196429,13.430974089095086,14.253325881093131,13.682670714652225,14.140927064387174,14.220471058205295,14.621553358834435,15.564796108427977
AXISBANK.NS,2024-10-01,2,1,0,5,1,0,5,5.418457661070725,1160.4000244140625,0.598927182493325,2.494825108823409,0.9651801909889094,2.2793821626495356,0.8617717846954926,-0.07324849776409566,0.7885232869313971,-1.8226494285659884,0.973795804900843,0.5256786847292294,-0.043088589234774634,0.047391136353188416,0.9134759878422012,-0.1938986515564859,-1.8312650424779222,5.899972071957447,6.148710972881198,6.078673492842135,5.715712393794965,5.759905058923607,5.998640351388895,6.402387466410603,6.023121210540399,5.667214953692405,5.802564797189209,5.887819792034829,6.446513006698202,6.052310338810437,5.934229183194259,6.273435341939498
BAJFINANCE.NS,2024-10-01,0,1,0,5,1,0,5,13.386274063434403,6995.7998046875,0.6446739317215868,-1.2243046504326884,-1.2071487090677597,0.381660368477235,-0.5832042915259281,-1.5159067961956525,-1.0320436411412595,-2.174156116832938,-0.9355571751409433,0.14866621280430684,-1.3050660001208871,-1.427279398534193,-3.1018612032694284,-5.111632970620346,-6.143683591396009,11.308120662399617,12.16229685105375,13.193914153118861,13.431876683294444,13.007328393955298,14.128238849352275,14.748759806827152,15.610341774754948,15.559216994345384,14.914594780171772,16.245425308967345,17.013468525403223,17.996708488738296,17.06129956829163,16.723934293127492
